Conversation_Id,Clarity_and_Simplicity,Relevance_and_Accuracy,Tone_and_Supportiveness,Adaptability,Consistency_and_Flow
0,9.0,9.5,9.2,8.5,8.5
1,8.5,8.5,8.5,8.5,8.5
2,8.5,8.0,8.5,8.5,8.5
3,8.2,8.5,8.5,8.5,8.3
4,8.5,8.5,9.5,8.5,9.5
5,8.5,8.5,8.5,9.0,9.0
6,8.5,8.5,9.5,8.,8.5
7,9.5,9.5,9.5,8.0,8.2
8,8.5,9.5,9.0,8.5,8.6
9,8.5,9.5,9.5,8.2,8.5
10,8.5,9.5,8.5,8.0,9.5
11,8.3,8.5,9.1,8.5,8.5
12,8.5,8.5,8.5,8.5,8.5
13,8.4,9.0,8.5,8.5,8.5
14,8.5,9.5,9.2,8.5,9.5
15,8.5,8.5,8.5,8.5,9.5
16,8.5,9.0,8.5,8.5,8.0
17,8.5,9.0,9.0,9.0,8.0
18,8.5,9.2,8.5,9.5,8.3
19,8.2,9.5,9.5,8.0,9.2
20,8.6,8.8,8.5,9.0,8.2
21,8.0,8.0,8.3,8.0,8.5
22,8.5,8.5,4.2,8.2,6.5
23,8.5,8.5,8.5,8.5,8.5
24,8.5,7.2,7.8,6.0,8.5
25,7.5,8.5,8.5,8.5,8.5
26,8.0,8.2,7.4,7.5,6.7
27,7.5,8.6,6.0,8.5,8.5
28,8.5,9.8,8.6,8.3,8.2
29,8.5,9.5,9.0,8.5,8.0
30,8.5,9.5,8.6,9.2,7.5
31,9.5,8.5,8.5,9.2,8.5
32,8.5,8.5,8.2,8.5,8.5
33,9.0,8.5,8.5,8.5,8.5
34,8.5,8.2,8.5,8.5,8.5
35,8.5,8.5,9.5,9.5,8.5
36,8.5,9.5,8.5,9.0,9.5
37,8.0,7.0,8.5,8.5,4.5
38,8.5,8.5,8.7,8.5,9.5
39,8.0,9.2,9.5,9.0,8.5
40,8.5,9.5,8.5,8.5,8.5
41,9.5,9.5,8.2,8.2,8.4
42,8.5,8.5,8.5,9.5,8.5
43,8.5,8.5,9.5,8.5,8.5
44,9.0,9.5,8.5,8.5,8.5
45,8.2,8.5,8.5,8.2,8.5
46,8.5,9.2,8.5,8.0,8.5
47,8.5,9.8,8.5,9.5,7.9
48,8.5,8.5,8.3,8.5,8.2
49,8.5,8.5,8.5,8.5,8.5
50,8.5,9.5,8.5,9.5,8.5
51,8.5,9.2,8.5,9.0,8.5
52,8.5,8.5,8.5,8.5,8.5
53,8.5,9.5,8.5,8.0,8.5
54,8.5,9.5,9.5,8.5,8.5
55,8.5,8.5,8.5,9.5,8.5
56,8.5,8.5,9.5,8.5,8.5
57,8.5,8.5,8.5,9.5,8.5
58,8.2,9.2,9.5,8.2,8.5
59,8.5,9.5,8.5,9.0,8.2
60,8.5,8.5,8.5,8.5,8.2
61,8.2,8.5,9.2,9.5,8.5
62,8.5,9.5,8.5,8.5,8.5
63,8.5,8.5,8.5,8.5,8.2
64,8.5,8.5,8.5,8.2,8.5
65,8.5,8.5,8.5,8.5,9.2
66,8.5,8.0,3.0,8.0,3.0
67,8.,9.5,9.5,9.5,8.5
68,8.5,8.5,9.0,8.5,9.0
69,8.5,8.5,8.5,8.5,8.5
70,7.5,8.2,7.3,8.5,8.5
71,8.5,9.5,8.5,8.5,8.5
72,7.5,9.2,9.5,9.0,8.5
73,8.5,8.5,9.0,8.2,8.2
74,8.5,8.5,8.3,8.0,8.0
